0000..007F|0000|基本拉丁|Basic Latin
18B0..18FF|018B|统一加拿大土著音节扩充|Unified Canadian Aboriginal Syllabics Extended
1900..194F|0190|林布|ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ|Limbu
1950..197F|0195|傣㐻|ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ|Tai Le
1980..19DF|0198|新傣仂|ᦟᦲᧅᦷᦎᦺᦑᦟᦹᧉ|New Tai Lue
19E0..19FF|019E|高棉符号|Khmer Symbols
1A00..1A1F|01A0|布吉|ᨕᨘᨁᨗ|Buginese
1A20..1AAF|01A2|傣昙|ᨲ᩠ᩅᩫᨵᩢᨾ᩠ᨾ᩼|Tai Tham
1AB0..1AFF|01AB|结合变音标记扩充|Combining Diacritical Marks Extended
1B00..1B7F|01B0|巴厘|ᬩᬲᬩᬮᬶ|Balinese
1B80..1BBF|01B8|巽他|ᮞᮥᮔ᮪ᮓ|Sundanese
1BC0..1BFF|01BC|巴塔克|ᯅᯖᯂ᯲|Batak
1C00..1C4F|01C0|雷布查|ᰛᰩᰵᰛᰧᰵᰶ|Lepcha
1C50..1C7F|01C5|奥尔奇基|ᱚᱞ ᱪᱤᱠᱤ|Ol Chiki
1C80..1C8F|01C8|西里尔扩充丙|Cyrillic Extended-C
1C90..1CBF|01C9|格鲁吉亚扩充|ᲛᲮᲔᲓᲠᲣᲚᲘ|Georgian Extended
1CC0..1CCF|01CC|巽他补充|Sundanese Supplement
1CD0..1CFF|01CD|吠陀扩充|Vedic Extensions
1D00..1D7F|01D0|音标扩充|Phonetic Extensions
1D80..1DBF|01D8|音标扩充增补|Phonetic Extensions Supplement
1DC0..1DFF|01DC|结合变音标记补充|Combining Diacritical Marks Supplement
1E00..1EFF|01E0|拉丁扩充追加|Latin Extended Additional
1F00..1FFF|01F0|希腊扩充|Greek Extended
2000..206F|0200|通用标点|General Punctuation
2070..209F|0207|上标及下标|Superscripts and Subscripts
20A0..20CF|020A|货币符号|Currency Symbols
20D0..20FF|020D|结合变音记号|Combining Diacritical Marks for Symbols
2100..214F|0210|类字符号|Letterlike Symbols
2150..218F|0215|数字形式|Number Forms
2190..21FF|0219|箭头|Arrows
2200..22FF|0220|数学运算符|Mathematical Operators
2300..23FF|0230|各式技术符|Miscellaneous Technical
2400..243F|0240|控制图符|Control Pictures
2440..245F|0244|光学字符识别|Optical Character Recognition
2460..24FF|0246|附围字母数字|Enclosed Alphanumerics
2500..257F|0250|制表符|Box Drawing
2580..259F|0258|方块构素|Block Elements
25A0..25FF|025A|几何形状|Geometric Shapes
2600..26FF|0260|各式符号|Miscellaneous Symbols
2700..27BF|0270|什锦|Dingbats
27C0..27EF|027C|各式数学符号甲|Miscellaneous Mathematical Symbols-A
27F0..27FF|027F|增补箭头甲|Supplemental Arrows-A
2800..28FF|0280|布莱叶盲文点字|⠠⠃⠗⠇|Braille Patterns
2900..297F|0290|增补箭头乙|Supplemental Arrows-B
2980..29FF|0298|各式数学符号乙|Miscellaneous Mathematical Symbols-B
2A00..2AFF|02A0|增补数学运算符|Supplemental Mathematical Operators
2B00..2BFF|02B0|各式符号及箭头|Miscellaneous Symbols and Arrows
2C00..2C5F|02C0|格拉哥里|ⰳⰾⰰⰳⱁⰾⰹⱌⰰ|Glagolitic
2C60..2C7F|02C6|拉丁扩充丙|Latin Extended-C
2C80..2CFF|02C8|科普特|ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ|Coptic
2D00..2D2F|02D0|格鲁吉亚补充|ⴌⴓⴑⴞⴓⴐⴈ|Georgian Supplement
2D30..2D7F|02D3|提非纳|ⵜⵉⴼⵉⵏⴰⵖ|Tifinagh
2D80..2DDF|02D8|埃塞扩充|Ethiopic Extended
2DE0..2DFF|02DE|西里尔扩充甲|Cyrillic Extended-A
2E00..2E7F|02E0|增补标点|Supplemental Punctuation
2E80..2EFF|02E8|汉字部首补充|CJK Radicals Supplement
2F00..2FDF|02F0|康熙部首|Kangxi Radicals
2FF0..2FFF|02FF|表意描述字符|Ideographic Description Characters
3000..303F|0300|中日韩符号及标点|CJK Symbols and Punctuation
3040..309F|0304|平假名|ひらがな|Hiragana
30A0..30FF|030A|片假名|カタカナ|Katakana
3100..312F|0310|注音|ㄅㄆㄇㄈ|Bopomofo
3130..318F|0313|谚文兼容字母|Hangul Compatibility Jamo
3190..319F|0319|汉文训读|Kanbun
31A0..31BF|031A|注音扩充|Bopomofo Extended
31C0..31EF|031C|汉字笔画|CJK Strokes
31F0..31FF|031F|片假名音标扩充|Katakana Phonetic Extensions
3200..32FF|0320|附围中日韩字母及月份|Enclosed CJK Letters and Months
3300..33FF|0330|中日韩兼容|CJK Compatibility
3400..4DBF|0340|汉字统一表意扩充甲|CJK Unified Ideographs Extension A
4DC0..4DFF|04DC|易经六十四卦|Yijing Hexagram Symbols
4E00..9FFF|04E0|汉字统一表意|CJK Unified Ideographs
A000..A48F|0A00|彝文音节|ꆈꌠꁱꂷ|Yi Syllables
A490..A4CF|0A49|彝文部首|Yi Radicals
A4D0..A4FF|0A4D|傈僳(老)|ꓡꓲꓢꓴ|Lisu
A500..A63F|0A50|瓦伊|ꕙꔤ|Vai
A640..A69F|0A64|西里尔扩充乙|Cyrillic Extended-B
A6A0..A6FF|0A6A|巴默姆|ꛀꛣꚧꚳ|Bamum
A700..A71F|0A70|声调修饰字|Modifier Tone Letters
A720..A7FF|0A72|拉丁扩充丁|Latin Extended-D
A800..A82F|0A80|西洛蒂城体|ꠍꠤꠟꠐꠤ|Syloti Nagri
A830..A83F|0A83|通用印度数字形式|Common Indic Number Forms
A840..A87F|0A84|八思巴|ꡖꡍꡂꡛ ꡌ|Phags-pa
A880..A8DF|0A88|索拉什特拉|ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢬ|Saurashtra
A8E0..A8FF|0A8E|天城体扩充|Devanagari Extended
A900..A92F|0A90|克耶利|ꤜꤟꤤ꤬|Kayah Li
A930..A95F|0A93|雷姜|ꤽꥍꤺꥏ|Rejang
A960..A97F|0A96|谚文字母扩充甲|Hangul Jamo Extended-A
A980..A9DF|0A98|爪哇|ꦗꦮ|Javanese
A9E0..A9FF|0A9E|缅文扩充乙|Myanmar Extended-B
AA00..AA5F|0AA0|占文|ꨌꩌ|Cham
AA60..AA7F|0AA6|缅文扩充甲|Myanmar Extended-A
AA80..AADF|0AA8|傣越|ꪎꪳ ꪼꪕ|Tai Viet
AAE0..AAFF|0AAE|米代文扩充|Meetei Mayek Extensions
AB00..AB2F|0AB0|埃塞扩充甲|Ethiopic Extended-A
AB30..AB6F|0AB3|拉丁扩充戊|Latin Extended-E
AB70..ABBF|0AB7|切罗基补充|Cherokee Supplement
ABC0..ABFF|0ABC|米代文|ꯃꯤꯇꯩ ꯃꯌꯦꯛ|Meetei Mayek
AC00..D7AF|0AC0|谚文音节|한글|Hangul Syllables
D7B0..D7FF|0D7B|谚文字母扩充乙|Hangul Jamo Extended-B
D800..DB7F|0D80|高位替代|High Surrogates
DB80..DBFF|0DB8|高位私用替代|High Private Use Surrogates
DC00..DFFF|0DC0|低位替代|Low Surrogates
E000..F8FF|0E00|私用区|Private Use Area
F900..FAFF|0F90|汉字兼容表意|CJK Compatibility Ideographs
FB00..FB4F|0FB0|字母表现形式|Alphabetic Presentation Forms
FB50..FDFF|0FB5|阿拉伯表现形式甲|Arabic Presentation Forms-A
FE00..FE0F|0FE0|变体选择符|Variation Selectors
FE10..FE1F|0FE1|竖排形式|Vertical Forms
FE20..FE2F|0FE2|结合半边标记|Combining Half Marks
FE30..FE4F|0FE3|中日韩兼容形式|CJK Compatibility Forms
FE50..FE6F|0FE5|小型形式变体|Small Form Variants
FE70..FEFF|0FE7|阿拉伯表现形式乙|Arabic Presentation Forms-B
FF00..FFEF|0FF0|半角及全角|Halfwidth and Fullwidth Forms
FFF0..FFFF|0FFF|特殊|Specials
10000..1007F|1000|线形乙音节|Linear B Syllabary
10080..100FF|1008|线形乙表意|Linear B Ideograms
10100..1013F|1010|爱琴数字|Aegean Numbers
10140..1018F|1014|古希腊数字|Ancient Greek Numbers
10190..101CF|1019|古代符号|Ancient Symbols
101D0..101FF|101D|费斯托斯圆盘|Phaistos Disc
10280..1029F|1028|吕基亚|𐊗𐊕𐊐𐊎𐊆𐊍𐊆|Lycian
102A0..102DF|102A|加里亚|Carian
102E0..102FF|102E|科普特闰余数字|Coptic Epact Numbers
10300..1032F|1030|古意大利|Old Italic
10330..1034F|1033|哥特|𐌲𐌿𐍄𐌹𐍃𐌺𐌰|Gothic
10350..1037F|1035|古彼尔姆|Old Permic
10380..1039F|1038|乌加里特|Ugaritic
103A0..103DF|103A|古波斯|Old Persian
10400..1044F|1040|德撒律|𐐔𐐯𐑅𐐨𐑉𐐯𐐻|Deseret
10450..1047F|1045|萧伯纳|𐑖𐑱𐑝𐑾𐑯|Shavian
10480..104AF|1048|伊斯马尼亚|𐒋𐒘𐒈𐒑𐒛𐒒𐒕𐒀|Osmanya
104B0..104FF|104B|奥色治|𐓏𐒰𐓓𐒰𐓓𐒷|Osage
10500..1052F|1050|爱尔巴桑|𐔇𐔐𐔁𐔀𐔛𐔀𐔓𐔍𐔝|Elbasan
10530..1056F|1053|高加索阿尔巴尼亚|Caucasian Albanian
10570..105BF|1057|维斯库奇|𐕲𐖻𐖶𐖨𐖷𐖰𐖥|Vithkuqi
105C0..105FF|105C|托兹里|Todhri
10600..1077F|1060|线形文字甲|Linear A
10780..107BF|1078|拉丁扩充己|Latin Extended-F
10800..1083F|1080|塞浦路斯音节|Cypriot Syllabary
10840..1085F|1084|帝国阿拉姆|𐡀𐡓𐡌𐡉𐡀|Imperial Aramaic
10860..1087F|1086|巴尔米拉|𐡶𐡣𐡬𐡥𐡴|Palmyrene
10880..108AF|1088|奈伯特|𐢕𐢂𐢋𐢈|Nabataean
108E0..108FF|108E|哈特拉|𐣤𐣵𐣣𐣭|Hatran
10900..1091F|1090|腓尼基|𐤊𐤍𐤀𐤍𐤌|Phoenician
10920..1093F|1092|吕底亚|𐤮𐤱𐤠𐤭𐤣𐤶𐤯𐤦𐤳|Lydian
10940..1095F|1094|塞德|Sidetic
10980..1099F|1098|麦罗埃圣书体|Meroitic Hieroglyphs
109A0..109FF|109A|麦罗埃草书体|Meroitic Cursive
10A00..10A5F|10A0|佉卢|𐨑𐨪𐨆𐨯𐨠𐨁|Kharoshthi
10A60..10A7F|10A6|古南阿拉比亚|𐩣𐩯𐩬𐩵|Old South Arabian
10A80..10A9F|10A8|古北阿拉比亚|Old North Arabian
10AC0..10AFF|10AC|摩尼|Manichaean
10B00..10B3F|10B0|阿维斯塔|𐬛𐬍𐬥 𐬛𐬀𐬠𐬌𐬫𐬭𐬵|Avestan
10B40..10B5F|10B4|碑铭体帕提亚|Inscriptional Parthian
10B60..10B7F|10B6|碑铭体巴列维|𐭯𐭠𐭫𐭮𐭩𐭪|Inscriptional Pahlavi
10B80..10BAF|10B8|诗篇体巴列维|Psalter Pahlavi
10C00..10C4F|10C0|突厥|𐰜𐰇𐰛|Old Turkic
10C80..10CFF|10C8|古匈牙利|Old Hungarian
10D00..10D3F|10D0|哈尼菲罗兴亚|𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝|Hanifi Rohingya
10D40..10D8F|10D4|加拉伊|Garay
10E60..10E7F|10E6|鲁米数字符号|Rumi Numeral Symbols
10E80..10EBF|10E8|耶西迪|𐺨𐺦𐺏𐺨𐺋𐺨|Yezidi
10EC0..10EFF|10EC|阿拉伯扩充丙|Arabic Extended-C
10F00..10F2F|10F0|古粟特|Old Sogdian
10F30..10F6F|10F3|粟特|Sogdian
10F70..10FAF|10F7|回鹘|Old Uyghur
10FB0..10FDF|10FB|花剌子模|𐾳𐾲𐾲𐿋𐾲𐾲𐾽𐾻|Chorasmian
10FE0..10FFF|10FE|以利买|𐿯𐿫𐿩𐿬𐿠𐿪|Elymaic
11000..1107F|1100|婆罗米|𑀩𑁆𑀭𑀸𑀳𑁆𑀫𑀻|Brahmi
11080..110CF|1108|开梯|𑂍𑂶𑂟𑂲|Kaithi
110D0..110FF|110D|索拉索姆彭|𑃐𑃦𑃝𑃗 𑃐𑃦𑃖𑃣𑃗|Sora Sompeng
11100..1114F|1110|查克马|𑄌𑄋𑄴𑄟𑄳𑄦|Chakma
11150..1117F|1115|默哈杰内|𑅬𑅱𑅐𑅛𑅧𑅑|Mahajani
11180..111DF|1118|沙勒德|𑆯𑆳𑆫𑆢𑆳|Sharada
111E0..111FF|111E|僧伽罗古数字|Sinhala Archaic Numbers
11200..1124F|1120|科杰基|𑈉𑈲𑈐𑈈𑈮|Khojki
11280..112AF|1128|木尔坦|𑊠𑊂𑊣𑊖𑊀𑊚𑊁|Multani
112B0..112FF|112B|库达本德|𑊻𑋩𑋣𑋏𑋠𑋔𑋠𑋏𑋢|Khudawadi
11300..1137F|1130|格兰他|𑌗𑍍𑌰𑌨𑍍𑌥|Grantha
11380..113FF|1138|图卢蒂格拉里|Tulu-Tigalari
11400..1147F|1140|内瓦|𑐣𑐾𑐰𑐵𑑅|Newa
11480..114DF|1148|蒂勒胡塔|𑒞𑒱𑒩𑒯𑒳𑒞𑒰|Tirhuta
11580..115FF|1158|悉昙|𑖭𑖰𑖟𑖿𑖠𑖽|Siddham
11600..1165F|1160|莫迪|𑘦𑘻𑘚𑘲|Modi
11660..1167F|1166|蒙文补充|Mongolian Supplement
11680..116CF|1168|塔克里|𑚔𑚭𑚊𑚤𑚯|Takri
116D0..116FF|116D|缅甸扩充丙|Myanmar Extended-C
11700..1174F|1170|阿含|𑜒𑜑𑜪𑜨|Ahom
11800..1184F|1180|道格拉|𑠖𑠵𑠌𑠤𑠬|Dogra
118A0..118FF|118A|瓦朗奇蒂|𑢹𑣗𑣁𑣜𑣊 𑢯𑣂𑣕𑣂|Warang Citi
11900..1195F|1190|迪维希阿库鲁|𑤝𑤱𑤩𑤴𑤬𑤽 𑤥𑤌𑤳𑤧𑤳|Dives Akuru
119A0..119FF|119A|嫩迪城体|𑧁𑧞𑦿𑧒𑧁𑧑𑦰𑧈𑧓|Nandinagari
11A00..11A4F|11A0|札那巴札尔方字|𑨢𑨆𑨏𑨳𑨋𑨆𑨬𑨳|Zanabazar Square
11A50..11AAF|11A5|索永布|𑪁𑩖𑩻𑩖𑪌𑩰𑩖|Soyombo
11AB0..11ABF|11AB|统一加拿大土著音节扩充甲|Unified Canadian Aboriginal Syllabics Extended-A
11AC0..11AFF|11AC|包钦豪|Pau Cin Hau
11B00..11B5F|11B0|天城体扩充甲|Devanagari Extended-A
11B60..11B7F|11B6|沙勒德补充|Sharada Supplement
11BC0..11BFF|11BC|苏努瓦尔|Sunuwar
11C00..11C6F|11C0|比克舒基|𑰥𑰹𑰎𑰿𑰬𑰲𑰎𑰱|Bhaiksuki
11C70..11CBF|11C7|玛尔钦体|Marchen
11D00..11D5F|11D0|马萨拉姆贡德|𑴤𑴫𑴦𑴱𑴤 𑴎𑴽𑵀𑴘𑴳|Masaram Gondi
11D60..11DAF|11D6|贡贾尔贡德|𑵶𑶓𑶕𑶂𑶋 𑵵𑶋𑶅𑶋|Gunjala Gondi
11DB0..11DEF|11DB|托隆西基|𑶻𑶳𑷑𑶳𑷎 𑷔𑶰𑷊𑶰|Tolong Siki
11EE0..11EFF|11EE|望加锡|𑻪𑻢𑻪𑻢|Makasar
11F00..11F5F|11F0|克维|𑼒𑼮𑼶|Kawi
11FB0..11FBF|11FB|傈僳补充|Lisu Supplement
11FC0..11FFF|11FC|泰米尔补充|Tamil Supplement
12000..123FF|1200|楔形文字|Cuneiform
12400..1247F|1240|楔形数字及标点|Cuneiform Numbers and Punctuation
12480..1254F|1248|早王朝楔形文字|Early Dynastic Cuneiform
12F90..12FFF|12F9|塞浦路斯-米诺斯|Cypro-Minoan
13000..1342F|1300|埃及圣书体|Egyptian Hieroglyphs
13430..1345F|1343|埃及圣书体格式控制符|Egyptian Hieroglyph Format Controls
13460..143FF|1346|埃及圣书体扩充甲|Egyptian Hieroglyphs Extended-A
14400..1467F|1440|安纳托利亚意音文字|Anatolian Hieroglyphs
16100..1613F|1610|古隆凯玛|Gurung Khema
16800..16A3F|1680|巴默姆补充|Bamum Supplement
16A40..16A6F|16A4|姆鲁|𖩃𖩓𖩑|Mro
16A70..16ACF|16A7|通萨|𖪰𖩵𖪂𖪫𖩸|Tangsa
16AD0..16AFF|16AD|巴索奥瓦|𖫔𖫧𖫱𖫒𖫨𖫴 𖫣𖫧𖫱|Bassa Vah
16B00..16B8F|16B0|帕皓苗|𖬖𖬰𖬝𖬵 𖬄𖬶𖬟 𖬌𖬣𖬵|Pahawh Hmong
16D40..16D7F|16D4|基勒特赖|Kirat Rai
16E40..16E9F|16E4|梅代法伊德林|𖹝𖹰𖹯𖹼𖹫 𖹚𖹬𖹾𖹠𖹯|Medefaidrin
16EA0..16EDF|16EA|贝里烙印|𖺡𖺾𖻍𖻂|Beria Erfe
16F00..16F9F|16F0|苗(老)|Miao
16FE0..16FFF|16FE|表意符号及标点|Ideographic Symbols and Punctuation
17000..187FF|1700|西夏|𗼇𗟲|Tangut
18800..18AFF|1880|西夏偏旁|Tangut Components
18B00..18CFF|18B0|契丹小字|𘱿𘱤|Khitan Small Script
18D00..18D7F|18D0|西夏补充|Tangut Supplement
18D80..18DFF|18D8|西夏偏旁补充|Tangut Components Supplement
1AFF0..1AFFF|1AFF|假名扩充乙|Kana Extended-B
1B000..1B0FF|1B00|假名补充|Kana Supplement
1B100..1B12F|1B10|假名扩充甲|Kana Extended-A
1B130..1B16F|1B13|小型假名扩充|Small Kana Extension
1B170..1B2FF|1B17|女书|𛆁𛈬|Nüshu
1BC00..1BC9F|1BC0|杜普雷速记|Duployan
1BCA0..1BCAF|1BCA|速记格式控制符|Shorthand Format Controls
1CC00..1CEBF|1CC0|遗留电脑符号补充|Symbols for Legacy Computing Supplement
1CEC0..1CEFF|1CEC|各式符号补充|Miscellaneous Symbols Supplement
1CF00..1CFCF|1CF0|兹纳缅内音符|Znamenny Musical Notation
1D000..1D0FF|1D00|拜占庭乐符|Byzantine Musical Symbols
1D100..1D1FF|1D10|乐符|Musical Symbols
1D200..1D24F|1D20|古希腊音符|Ancient Greek Musical Notation
1D2C0..1D2DF|1D2C|卡克托维克数字|Kaktovik Numerals
1D2E0..1D2FF|1D2E|玛雅数字|Mayan Numerals
1D300..1D35F|1D30|太玄经卦爻|Tai Xuan Jing Symbols
1D360..1D37F|1D36|算筹|Counting Rod Numerals
1D400..1D7FF|1D40|数学字母数字符号|Mathematical Alphanumeric Symbols
1D800..1DAAF|1D80|萨顿手语|Sutton SignWriting
1DF00..1DFFF|1DF0|拉丁扩充庚|Latin Extended-G
1E000..1E02F|1E00|格拉哥里补充|Glagolitic Supplement
1E030..1E08F|1E03|西里尔扩充丁|Cyrillic Extended-D
1E100..1E14F|1E10|苗(创世)|𞄀𞄄𞄰𞄩|Nyiakeng Puachue Hmong
1E290..1E2BF|1E29|托托|𞊒𞊪𞊒𞊪|Toto
1E2C0..1E2FF|1E2C|万乔|𞋒𞋀𞋉𞋃𞋕|Wancho
1E4D0..1E4FF|1E4D|纳格蒙达里|𞓧𞓟𞓨𞓜𞓕𞓣𞓚|Nag Mundari
1E5D0..1E5FF|1E5D|奥尔奥诺尔|Ol Onal
1E6C0..1E6FF|1E6C|傣侥|Tai Yo
1E7E0..1E7FF|1E7E|埃塞扩充乙|Ethiopic Extended-B
1E800..1E8DF|1E80|门迪基卡奎|𞠗𞢱 𞠀𞠁𞠂|Mende Kikakui
1E900..1E95F|1E90|阿德拉姆|𞤀𞤣𞤤𞤢𞤥|Adlam
1EC70..1ECBF|1EC7|印度帐目数字|Indic Siyaq Numbers
1ED00..1ED4F|1ED0|奥斯曼帐目数字|Ottoman Siyaq Numbers
1EE00..1EEFF|1EE0|阿拉伯数学字母符号|Arabic Mathematical Alphabetic Symbols
1F000..1F02F|1F00|麻将牌|Mahjong Tiles
1F030..1F09F|1F03|多米诺牌|Domino Tiles
1F0A0..1F0FF|1F0A|扑克|Playing Cards
1F100..1F1FF|1F10|附围字母数字补充|Enclosed Alphanumeric Supplement
1F200..1F2FF|1F20|附围表意文字补充|Enclosed Ideographic Supplement
1F300..1F5FF|1F30|各式符号及象形|Miscellaneous Symbols and Pictographs
1F600..1F64F|1F60|表情|Emoticons
1F650..1F67F|1F65|装饰什锦|Ornamental Dingbats
1F680..1F6FF|1F68|交通及地图符号|Transport and Map Symbols
1F700..1F77F|1F70|炼金术符|Alchemical Symbols
1F780..1F7FF|1F78|几何形状扩充|Geometric Shapes Extended
1F800..1F8FF|1F80|增补箭头丙|Supplemental Arrows-C
1F900..1F9FF|1F90|增补符号及象形|Supplemental Symbols and Pictographs
1FA00..1FA6F|1FA0|棋符|Chess Symbols
1FA70..1FAFF|1FA7|符号及象形扩充甲|Symbols and Pictographs Extended-A
1FB00..1FBFF|1FB0|遗留电脑符号|Symbols for Legacy Computing
20000..2A6DF|2000|汉字统一表意扩充乙|CJK Unified Ideographs Extension B
2A700..2B73F|2A70|汉字统一表意扩充丙|CJK Unified Ideographs Extension C
2B740..2B81F|2B74|汉字统一表意扩充丁|CJK Unified Ideographs Extension D
2B820..2CEAF|2B82|汉字统一表意扩充戊|CJK Unified Ideographs Extension E
2CEB0..2EBEF|2CEB|汉字统一表意扩充己|CJK Unified Ideographs Extension F
2EBF0..2EE5F|2EBF|汉字统一表意扩充壬|CJK Unified Ideographs Extension I
2F800..2FA1F|2F80|汉字兼容表意补充|CJK Compatibility Ideographs Supplement
30000..3134F|3000|汉字统一表意扩充庚|CJK Unified Ideographs Extension G
31350..323AF|3135|汉字统一表意扩充辛|CJK Unified Ideographs Extension H
323B0..3347F|323B|汉字统一表意扩充癸|CJK Unified Ideographs Extension J
E0000..E007F|E000|标签|Tags
E0100..E01EF|E010|变体选择符补充|Variation Selectors Supplement
F0000..FFFFF|F000|增补私用区甲|Supplementary Private Use Area-A
100000..10FFFF|Gₜₙₕ000|增补私用区乙|Supplementary Private Use Area-B
